name,display
Affandi Museum,At the Affandi Museum
Aviation Brotherhood Bar,In the Aviation Brotherhood Bar
Aviation Museum,In the Aviation Museum
Bangkok,In Bangkok
Batavia,In Batavia
Beringhardjo Market,At the Beringhardjo Market
Freeberg Apartment,In Bob Freeberg’s Apartment
Boediardjo Residence,In Boediardjo’s Residence
Bukittinggi,In Bukittinggi
Cameron Kos,At Cameron’s Room
Cengkarang Airport,In the Cengkarang Airport
Cilotok,On Cilotok Beach
Earthquake,At the Earthquake Club
Emeria Salon,In Emeria’s Salon
Hotel Mandarin,At the Hotel Mandarin
Hotel Merdeka,At the Hotel Merdeka
IPPHOS,In the IPPHOS office
Jakarta,In Jakarta
Jakarta Times,At the Jakarta Times office
Jalan Jaksa,On Jalan Jaksa
Jalan Jetis,At the house on Jalan Jetis
Jogjakarta,In Jogjakarta
Julia Residence,At the Suryakusuma residence
Kampung Tugu,In Kampung Tugu
KNIL,At KNIL headquarters
Kunstkring,At the Kunstkring
Library,In the National Library
Maguwo,At Maguwo Airbase
Malaya,On a beach in Malaya
Manila,In Manila
Mount Punggur,On the slopes of Mount Punggur
Muharto Residence,At the Muharto Residence
Pemuda Pancasila Pekanbaru,At the Pekanbaru HQ of Pemuda Pancasila 
POAS,About a POAS Dakota
Presidential Palace,At the Presidential Palace In Jogjakarta
Regina Gallery,At the Regina Gallery
RI-002,Aboard RI-002
RI-005,Aboard RI-005
Singapore,At the Raffles Hotel
Soeparto Residence,In the Soeparto Residence
Sumatra,In Sumatra
Taman Sari,In Taman Sari
Tanjung Karang,At Tanjung Karang Airbase
